Code,Timestamp,Open,Close,Low,High,Volume
CHD,2024-07-18,103.53,102.17,101.94,104.48,1703500
CHK,2024-07-15,83.58,83.77,83.03,84.25,1285200
CHK,2024-07-16,83.7,82.83,82.66,83.76,1877400
CHK,2024-07-17,83.01,82.05,81.93,84.25,2550000
CHK,2024-07-18,82.84,81.34,81.21,83.0,1503200
CHRW,2024-07-15,87.1,87.03,86.02,87.35,1755500
CHRW,2024-07-16,87.17,87.74,87.17,89.11,1606800
CHRW,2024-07-17,87.09,88.97,86.54,89.0,1279700
CHRW,2024-07-18,88.7,87.4,86.96,89.81,1457200
CHTR,2024-07-15,312.71,324.59,310.48,325.52,1842800
CHTR,2024-07-16,324.59,327.42,319.27,328.41,1516700
CHTR,2024-07-17,324.67,330.3,323.81,333.75,1469300
CHTR,2024-07-18,329.0,321.63,321.56,335.6,1303900
CINF,2024-07-15,122.74,123.26,122.53,124.28,730000
CINF,2024-07-16,123.71,125.13,123.57,125.96,626300
CINF,2024-07-17,125.94,127.17,125.94,128.17,816200
CINF,2024-07-18,126.59,126.01,125.79,128.23,571800
CI,2024-07-15,336.6,331.42,330.55,338.77,1266500
CI,2024-07-16,333.83,339.71,333.83,342.46,1166600
CI,2024-07-17,339.59,344.76,339.39,345.49,1441900
CI,2024-07-18,343.06,340.52,340.46,347.37,1028800
CLX,2024-07-15,136.03,134.15,134.06,136.23,931500
CLX,2024-07-16,134.13,135.86,134.11,136.35,1012700
CLX,2024-07-17,136.06,137.2,135.82,137.59,1170300
CLX,2024-07-18,136.98,136.31,136.17,138.8,906300
CL,2024-07-15,97.59,96.76,96.72,97.8,3093600
CL,2024-07-16,96.9,96.91,96.54,97.45,2859800
CL,2024-07-17,97.46,98.89,97.24,99.12,4117500
CL,2024-07-18,98.72,98.01,97.88,99.11,3286400
CMA,2024-07-15,56.62,56.14,55.96,57.15,2213100
CMA,2024-07-16,56.44,57.44,56.15,57.92,1890900
CMA,2024-07-17,56.7,57.42,56.55,58.5,1845600
CMA,2024-07-18,56.76,56.33,55.96,58.13,2635500
CMCSA,2024-07-15,38.25,38.94,38.2,39.44,19018300
CMCSA,2024-07-16,38.94,39.61,38.86,39.67,18541200
CMCSA,2024-07-17,39.68,40.59,39.67,40.74,31689700
CMCSA,2024-07-18,40.23,40.14,40.13,41.2,17757900
CME,2024-07-15,194.11,197.01,194.11,197.2,2431300
CME,2024-07-16,198.26,197.37,197.08,199.55,2106500
CME,2024-07-17,197.87,201.46,197.32,201.58,1834400
CME,2024-07-18,201.07,200.61,200.2,202.78,1531300
CMG,2024-07-15,57.75,56.61,56.48,57.8,15192400
CMG,2024-07-16,56.76,57.74,56.23,57.92,14404300
CMG,2024-07-17,56.92,55.29,55.1,57.39,17208200
CMG,2024-07-18,53.48,53.38,52.63,54.55,29138100
CMI,2024-07-15,285.91,288.93,284.42,292.26,628000
CMI,2024-07-16,289.96,299.43,288.97,299.85,909700
CMI,2024-07-17,298.27,295.1,295.06,301.98,827600
CMI,2024-07-18,293.57,298.23,293.57,302.87,661800
CMS,2024-07-15,60.72,60.31,60.03,60.92,1758000
CMS,2024-07-16,60.66,61.28,60.28,61.28,1897500
CMS,2024-07-17,61.46,62.13,61.32,62.89,1864100
CMS,2024-07-18,61.76,61.6,61.56,62.72,1579100
CNC,2024-07-15,67.57,66.0,65.82,67.97,3878700
CNC,2024-07-16,67.33,69.11,66.66,69.29,5283100
CNC,2024-07-17,67.09,67.8,66.18,68.15,4311300
CNC,2024-07-18,67.29,65.69,65.54,67.64,4162600
CNP,2024-07-15,30.1,28.28,28.0,30.1,13737600
CNP,2024-07-16,28.41,28.57,28.26,28.85,10720200
CNP,2024-07-17,28.16,28.64,28.13,28.89,9188500
CNP,2024-07-18,28.47,28.82,28.47,29.18,6864300
COF,2024-07-15,140.82,144.61,140.21,144.64,3018200
COF,2024-07-16,144.64,149.56,144.19,149.59,3796900
COF,2024-07-17,148.87,149.47,147.44,151.34,2931500
COF,2024-07-18,151.77,148.72,147.69,153.35,3936900
COG,2024-07-15,132.01,131.01,130.78,133.14,1015700
COG,2024-07-16,131.99,136.06,131.6,136.19,1064300
COG,2024-07-17,135.16,133.5,133.42,136.0,1031200
COG,2024-07-18,132.32,131.97,131.66,135.21,2783500
COL,2024-07-15,214.4,215.72,213.41,216.33,1732200
COL,2024-07-16,215.85,218.47,215.65,219.01,2978500
COL,2024-07-17,219.0,220.21,217.85,220.71,2688100
COL,2024-07-18,219.98,217.67,217.52,220.79,2165400
COO,2024-07-15,90.17,88.67,88.37,90.77,1296500
COO,2024-07-16,91.99,90.14,88.11,91.99,1936300
COO,2024-07-17,88.0,90.96,87.77,94.03,1665200
