stock_date,open_price,close_price,low,high,volume,return
2022-10-20,3689.05,3665.78,3656.44,3736,4496620000,-0.80
2022-10-21,3657.1,3752.75,3647.42,3757.89,5078020000,2.37
2022-10-24,3762.01,3797.34,3741.65,3810.74,4747930000,1.19
2022-10-25,3799.44,3859.11,3799.44,3862.85,4843120000,1.63
2022-10-26,3825.97,3830.6,3824.07,3886.15,4817310000,-0.74
2022-10-27,3834.69,3807.3,3803.79,3859.95,4687320000,-0.61
2022-10-28,3808.26,3901.06,3808.26,3905.42,4459410000,2.46
2022-10-31,3881.85,3871.98,3863.18,3893.73,4820620000,-0.75
2022-11-01,3901.79,3856.1,3843.8,3911.79,4481210000,-0.41
2022-11-02,3852.9,3759.69,3758.68,3894.44,4899000000,-2.50
2022-11-03,3733.25,3719.89,3698.15,3750.59,4625290000,-1.06
2022-11-04,3766.98,3770.55,3708.84,3796.34,5400180000,1.36
2022-11-07,3780.71,3806.8,3764.7,3813.95,4341620000,0.96
2022-11-08,3817.02,3828.11,3786.28,3859.4,4607640000,0.56
2022-11-09,3810.94,3748.57,3744.22,3818.2,4645010000,-2.08
2022-11-10,3859.89,3956.37,3859.89,3958.33,5781260000,5.54
2022-11-11,3963.72,3992.93,3944.82,4001.48,5593310000,0.92
2022-11-14,3977.97,3957.25,3956.4,4008.97,4561930000,-0.89
2022-11-15,4006.41,3991.73,3953.17,4028.84,5015310000,0.87
2022-11-16,3976.82,3958.79,3954.34,3983.09,4165320000,-0.83
2022-11-17,3919.26,3946.56,3906.54,3954.33,4051780000,-0.31
2022-11-18,3966.39,3965.34,3935.98,3979.89,4037360000,0.48
2022-11-21,3956.23,3949.94,3933.34,3962,3850690000,-0.39
2022-11-22,3965.51,4003.58,3956.88,4005.88,3887990000,1.36
2022-11-23,4000.3,4027.26,3998.66,4033.78,3279720000,0.59
2022-11-25,4023.34,4026.12,4020.76,4034.02,1706460000,-0.03
2022-11-28,4005.36,3963.94,3955.77,4012.27,3615430000,-1.54
2022-11-29,3964.19,3957.63,3937.65,3976.77,3546040000,-0.16
2022-11-30,3957.18,4080.11,3938.58,4080.11,6579360000,3.09
2022-12-01,4087.14,4076.57,4050.87,4100.51,4527130000,-0.09
2022-12-02,4040.17,4071.7,4026.63,4080.48,4012620000,-0.12
2022-12-05,4052.02,3998.84,3984.49,4052.45,4280820000,-1.79
2022-12-06,3996.63,3941.26,3918.39,4001.51,4368380000,-1.44
2022-12-07,3933.28,3933.92,3922.68,3957.57,4118050000,-0.19
2022-12-08,3947.79,3963.51,3935.83,3974.19,4006900000,0.75
2022-12-09,3954.17,3934.38,3933.04,3977.02,3888260000,-0.73
2022-12-12,3939.29,3990.56,3935.3,3990.71,3904130000,1.43
2022-12-13,4069.38,4019.65,3993.03,4100.96,5079360000,0.73
2022-12-14,4015.54,3995.32,3965.65,4053.76,4472340000,-0.61
2022-12-15,3958.37,3895.75,3879.45,3958.37,4493900000,-2.49
2022-12-16,3890.91,3852.36,3827.91,3890.91,7493660000,-1.11
2022-12-19,3853.79,3817.66,3800.04,3854.86,3969610000,-0.90
2022-12-20,3810.47,3821.62,3795.62,3838.24,3985370000,0.10
2022-12-21,3839.49,3878.44,3839.49,3889.82,3775200000,1.49
2022-12-22,3853.26,3822.39,3764.49,3853.26,3956950000,-1.45
2022-12-23,3815.11,3844.82,3797.01,3845.8,2819280000,0.59
2022-12-27,3843.34,3829.25,3813.22,3846.65,3030300000,-0.40
2022-12-28,3829.56,3783.22,3780.78,3848.32,3083520000,-1.20
2022-12-29,3805.45,3849.28,3805.45,3858.19,3003680000,1.75
2022-12-30,3829.06,3839.5,3800.34,3839.85,2979870000,-0.25
2023-01-03,3853.29,3824.14,3794.33,3878.46,3959140000,-0.40
2023-01-04,3840.36,3852.97,3815.77,3873.16,4414080000,0.75
2023-01-05,3839.74,3808.1,3802.42,3839.74,3893450000,-1.16
2023-01-06,3823.37,3895.08,3809.56,3906.19,3923560000,2.28
2023-01-09,3910.82,3892.09,3890.42,3950.57,4311770000,-0.08
2023-01-10,3888.57,3919.25,3877.29,3919.83,3851030000,0.70
2023-01-11,3932.35,3969.61,3928.54,3970.07,4303360000,1.28
2023-01-12,3977.57,3983.17,3937.56,3997.76,4440260000,0.34
2023-01-13,3960.6,3999.09,3947.67,4003.95,3939700000,0.40
2023-01-17,3999.28,3990.97,3984.57,4015.39,4235560000,-0.20
2023-01-18,4002.25,3928.86,3926.59,4014.16,4298710000,-1.56
2023-01-19,3911.84,3898.85,3885.54,3922.94,3991500000,-0.76
2023-01-20,3909.04,3972.61,3897.86,3972.96,4013360000,1.89
2023-01-23,3978.14,4019.81,3971.64,4039.31,3945210000,1.19
2023-01-24,4001.74,4016.95,3989.79,4023.92,3320430000,-0.07
2023-01-25,3982.71,4016.22,3949.06,4019.55,3724020000,-0.02
2023-01-26,4036.08,4060.43,4013.29,4061.57,3809590000,1.10
2023-01-27,4053.72,4070.56,4048.7,4094.21,3907760000,0.25
2023-01-30,4049.27,4017.77,4015.55,4063.85,3802000000,-1.30
2023-01-31,4020.85,4076.6,4020.44,4077.16,4679320000,1.46
2023-02-01,4070.07,4119.21,4037.2,4148.95,4856930000,1.05
2023-02-02,4158.68,4179.76,4141.88,4195.44,5624360000,1.47
2023-02-03,4136.69,4136.48,4123.36,4182.36,4694510000,-1.04
2023-02-06,4119.57,4111.08,4093.38,4124.63,4114240000,-0.61
2023-02-07,4105.35,4164,4088.39,4176.54,4355860000,1.29
2023-02-08,4153.47,4117.86,4111.67,4156.85,4029820000,-1.11
2023-02-09,4144.25,4081.5,4069.67,4156.23,4270200000,-0.88
2023-02-10,4068.92,4090.46,4060.79,4094.36,3891520000,0.22
